ticket,title,role,h_min,c_min,actual_min,delta_h_min,delta_c_min,started_iso,finished_iso,closed_commit,notes,agent
142,"formalize 12 informal demo TODOs as @todo #143/#144; un-ignore demos/",DEV,45,15,4.65,-40.35,-10.35,2026-05-28T18:21:49-10:00,2026-05-28T18:26:28-10:00,9b5ed52,"Big underrun (4.65m vs C 15m, 0.31x). Mechanical formalization: created 2 grouping trackers (#143 gameSnake features, #144 research Qs), converted 12 TODO:->@todo via line-addressed sed (.a/.ap can't use Edit tool — treated as binary), dropped demos/**+plusdemos/** from .pddignore. C was padded for risk that pdd wouldn't scan .a/.ap or the format would fight the parser; verified up front in a temp dir that it does, then conversion was trivial. Diff proven comment-only (assembly unchanged). Scan 1->13 puzzles, exit 0. Closes the #141 follow-up. Worktree.",
139,"Claude skill (1/4c) pitfalls + idioms-and-patterns references",DEV,60,12,5.43,-54.57,-6.57,2026-05-28T18:23:41-10:00,2026-05-28T18:29:07-10:00,0cb31de,"cross-repo close: SHA 0cb31de in avidrucker/claude-config. Two reference files ~500 lines total (pitfalls.md 4 sections A/B/C/D; idioms-and-patterns.md 11 patterns P1-P11 keyed to 8 canonical demos). Ratio 2.21x — WRITER band; throughput high once context loaded. Followup commit fixes a rebase merge that landed conflict markers in the previous commit.",
136,"Finish Q2 demo refactor: demo-009 (inverted) + demo-044 (ch19) — leftover from #135",DEV,45,12,7.27,-37.73,-4.73,2026-05-28T18:27:04-10:00,2026-05-28T18:34:20-10:00,2f30c01,"Two hand edits the #135 transform script could not do. demo-009 trivial (data already inverted-on-top): just +.start main + main: label, output unchanged 10 20 30 40 50. demo-044 was the real work: hoisted a/b/c/d data block to top, +.start main/main:, kept CREATION/PROPAGATION/DESTRUCTION inline comments with the code (not absorbed into header), and recomputed the memory-layout table addresses (0004/5/6/8 -> 0000/1/2/3) from the .lst since the reorg shifted them. Ratio 0.61x (7.27m vs C 12m). In-repo close (not cross-repo). Detour: lcc.js name.nnn prompt blocks on stdin for memory-only demos — fed name via pipe to verify clean exit 0.",
140,"Claude skill (1/4d) house-style reference + README pointer",DEV,60,10,2.70,-57.30,-7.30,2026-05-28T19:32:23-10:00,2026-05-28T19:35:05-10:00,fa7043a,"cross-repo close: SHA fa7043a in avidrucker/claude-config (skill 0.4.0). Closes the tracker chain (#137/#138/#139/#140 all done). Heavy under-run: ratio 3.70x — existing textbook_demos/README.md conventions section (ratified post-#104) + #104's close comment made transcription very fast; the *why* paragraphs were the new content. README.md pointer added in same lccjs commit. Skill is feature-complete per design. Unblocks #117 (validate).",
145,"Spike: debugger report-artifact parity vs oracle (lst/bst × .a/.e)",ARC,60,15,5.77,-54.23,-9.23,2026-05-28T19:36:41-10:00,2026-05-28T19:42:27-10:00,3ff14e4,"Spike under #13. Built a reusable 2x2 probe (experiments/debugger-report-parity-probe.sh) running oracle×lccjs over run-on-.a/run-on-.e, snapshotting all 8 artifacts + diffing. Finding: NO missing artifact (the remembered symptom did not reproduce, incl. under -d — both write .lst+.bst everywhere; corrected a misread that -d suppresses stats: line364 generateStats=false is under -nostats, not -d). Real diffs are 6 formatting deltas (header A/S padding, stats alignment, src/code column geometry, .a source-line truncation [only content-affecting], BST trailing space, banner date fmt). Reframes #13 to report-format parity; decomposition posted to #13. Ratio 0.38x (5.77m vs C15m) — fast: oracle wired + warm context. In-repo close.",
147,"fix stale docs/glossary/README.md status table (3 rows stub->complete)",WRITER,15,8,1.25,-13.75,-6.75,2026-05-28T19:44:04-10:00,2026-05-28T19:45:19-10:00,df19c74,"Tiny WRITER doc fix surfaced during #9 triage. 1.25m actual vs C 8m (0.16x) — a 3-row table edit; C padded for a markdown task that needed no investigation (the glossary completeness was already verified during triage). pdd treatment: docs/** is unscanned, so the GH issue (pdd-tracked label) is the tracker, no in-code marker. Full worktree+trunk-based ceremony applied per request despite the small size. Worktree.",
117,"validate lccjs-assembly skill — first-pass via 6 fresh subagents",TEST,60,30,9.07,-50.93,-20.93,2026-05-28T19:38:34-10:00,2026-05-28T19:47:38-10:00,6db9ada,"first TEST-role puzzle. Fan-out 6 parallel subagents (3 positive + 3 negative); I assembled + ran each, scored against design §6. 5/6 assembled and ran; all 4 pitfall classes steered correctly. Single failure (N3) on a different axis (invented `puts r0`) — filed as follow-up #148. Writeup: docs/lccjs-assembly-skill-validation.md. Closes the #115->#116->#117 skill arc. Ratio 3.31x C over-pad — TEST flavor with parallel subagents was faster than predicted; the orchestration overhead I budgeted didn't manifest because subagents ran truly in parallel and writeup leaned on direct observation. Closes #117.",
150,"sext semantics research+bug report for Prof Dos Reis (selector=mask, coherent only 2^k-1)",WRITER,60,30,11,-49,-19,2026-05-28T20:01:49-10:00,2026-05-28T20:08:11-10:00,f5afd7b,"Research ticket split from #144. Validated the user's hypothesis: sext's 2nd operand is a runtime bitmask; coherent sign-extend ONLY for contiguous 2^k-1 selectors, garbage for the other 12/16 low values. Live oracle evidence (sext_field_probe.a r1=0..15 sweep) + lccjs IDENTICAL by diff (it hardcodes SEXT_PARITY_TABLE). actual_min ~11 INCLUDES ~5m pre-worktree survey (reading interpreter.js table/executeSEXT, isa doc, experiments) before the captured start_iso; span alone is ~6m. C set retro (no formal C at grab). Deliverable: docs/research/sext-semantics-report.md. Found 2 side bugs: sext_sweep.a uses out-of-range mov 0x1234; lccjs .string rejects \\n escape. Worktree.",
155,"Test: lock in .a-path LST source-text parity vs oracle (mnemonics + comments)",DEV,45,12,5.02,-39.98,-6.98,2026-05-28T20:10:32-10:00,2026-05-28T20:15:33-10:00,ad94e16,"Test-only lock-in (behavior already correct per #145). New spec lcc.oracle.source-retention.e2e.spec.js: comments-INCLUDED complement to the existing lcc.oracle.e2e suite (which uses stripComments:true and thus never guards comments). Per demo Q/R/Z: (1) self-contained — every .a source line incl. comments appears in the lccjs .lst; (2) parity vs cached golden with stripComments:false. Reused runJSLCC/compareLstFiles/goldens. Whitespace-lenient (trim+collapse+trunc40) tolerates deviation 11. TDD-verified RED under a comment-stripping mutant (3 self-contained checks fail), GREEN normally. Ratio 0.42x (5.02m vs C12m) — harness already existed. In-repo close.",
148,"Skill: enumerate closed LCC trap set inline in SKILL.md (#117 N3 fix)",DEV,30,7,1.40,-28.60,-5.60,2026-05-28T20:13:58-10:00,2026-05-28T20:15:22-10:00,fafa31a,"cross-repo close: SHA fafa31a in avidrucker/claude-config (skill 0.5.0). New SKILL.md section between pitfall 4 and references router: 'Closed sets — don't invent extensions' (11 I/O traps + 4 debugging traps from lccjs/docs/lcc-isa.md, with explicit C-stdlib disclaim). Caught a miss while transcribing: original issue body omitted udout; SKILL.md table is now authoritative against the spec. Ratio 5.0x — spec-source transcription drove fast actual. Resolves the only validation failure across 6 runs in #117.",
149,"Skill: nl idiom callout + house-style scoping clarification (#117 §3.2+§3.3)",DEV,30,6,1.02,-28.98,-4.98,2026-05-28T20:28:49-10:00,2026-05-28T20:29:50-10:00,497dc1a,"cross-repo close: SHA 497dc1a in avidrucker/claude-config (skill 0.6.0). Two small inline edits in SKILL.md: (a) nl idiom callout in the closed-trap section showing the common-wrong @NL: .string + lea + sout shape; (b) house-style bullet now states both sides — apply for textbook_demos/, do NOT apply outside. Ratio 5.88x — same as #148 (1.40m): tiny inline edits, no source-doc research needed. Closes the #117 validation chain skill-text refinements (parent #117 TODOS item now [x]).",
146,"ARC spike: DRY core debugger vs ilcc/iinterpreter — ROI map + shared-substrate proposal",ARC,60,40,3.5,-56.5,-36.5,2026-05-28T20:30:38-10:00,2026-05-28T20:34:06-10:00,73ffa3d,"Research/ARC spike from #134 cross-link. Read interpreter.js debug surface + iinterpreter.js(466L)+ilcc.js(174L). Key finding: IInterpreter EXTENDS Interpreter so execution is already shared; dup is only in debug/display layer between two intentionally-different front-ends. ROI-ranked 6 overlaps; recommended sharing substrate (format.js #163, stateDelta.js #164) but NOT presentation (oracle text is byte-tested, drift risk). actual 3.5m wall-clock (fast — all model-driven reads/writes inside the worktree, no separate pre-survey); C set retro (no formal C at grab). Deliverable docs/research/debugger-ilcc-dry.md + 2 build issues. Handed module boundaries to #134. Worktree.",
163,"extract src/core/debug/format.js (h4 + register tables); dedup 5 copies",DEV,30,15,4,-26,-11,2026-05-28T20:41:46-10:00,2026-05-28T20:45:41-10:00,f130302,"Build A from #146 DRY spike. Created src/core/debug/format.js (h4, REG_NAMES, REG_ALIASES); removed 5 local h4/h defs (2 interpreter.js, 3 iinterpreter.js) + iinterpreter local REG_ALIASES. Behavior-preserving refactor — verified full suite 575 passed incl interpreter.oracle.e2e (byte-exact) + ilcc.unit; pdd scan clean. Left parity-sensitive _debugShowAllMem/_debugShowMem inline padding untouched (not part of the named-helper dup). actual 4m (mechanical edits + test run). Substrate for #164/#134. Worktree.",
162,"Docs: QC pass on docs/glossary/* — strip spike scaffolding & ticket-ref noise",WRITER,60,20,12,-48,-8,2026-05-28T20:33:47-10:00,2026-05-28T20:52:21-10:00,1273a13,"WRITER multi-file cleanup of the per-module glossaries. Deleted the redundant 'Candidate term inventory' spike sections from all three module files (assembler -374L, interpreter -203L, linker -90L), stripped PDD ticket numbers + process-provenance from reader-facing prose (kept Source citations, cross-file links, the stable OB-001 ID), slimmed every header, and rewrote the README Files table (Status column -> coverage descriptions; corrected counts interpreter 39->32, linker 26->23). 147+32+23 definitions preserved verbatim (diffed). Four worktree passes (c3c1717 asm / 08be918 int / 7a231ff linker / 1273a13 readme+close). actual=summed active wall-clock across the 4 passes (~12m); elapsed span ~18m due to per-file user approvals. C=20 aggregated from per-file C (8m asm, 5m int). NOTE: assembler pass was first done on main by mistake then redone via worktree after user pushback — process-correction overhead is in this number. h=60 is the WRITER cap, not a forecast.",
164,"extract src/core/debug/stateDelta.js (diffRegisters) — route core debugger + TUI",DEV,45,25,5.5,-39.5,-19.5,2026-05-28T20:51:40-10:00,2026-05-28T20:57:11-10:00,4773c26,"Build B from #146 spike. Pure diffRegisters(prev,curr) shared by interpreter.js step() diff loop + iinterpreter.js displayRegisters(); +value-based diffFlags/pcChanged for TUI. Key parity call: interpreter KEEPS fire-once flag/pc rendering (flagsSet/hasJumped, not value-diff) — documented non-share, routing it through diffFlags would break oracle parity. Verified: full suite 575 passed incl interpreter.oracle.e2e (byte-exact) + functional displayRegisters highlight check (TUI not directly unit-tested → #169 covers that gap). Registered TEST follow-ups #168 (format) + #169 (stateDelta) as @todo markers. Worktree.",
165,"Docs: reconcile open_bugs.md — OB-001..007 + OB-012 fixed but marked open",WRITER,45,12,6.5,-38.5,-5.5,2026-05-28T20:54:38-10:00,2026-05-28T21:01:08-10:00,8a1d6c5,"Pure docs reconcile. ROOT CAUSE of drift: fix commits used 'Closes #N' so GH issues #31-39/#44 auto-closed, but the standalone open_bugs.md snapshot was never updated -> all 8 still read Status:open while GH was closed + code fixed. Verified each fix in current code (mov->evaluateImmediate, 0x1FF mask, error() throws LinkerError, dead flag removed, genStats both-forms, xorshift comments, resetState, ASYNC_BATCH_SIZE) and cited the resolving commit per entry. Bumped stamps; rewrote current_issues.md headline. Scope held to the 8 verified (yegor fixed-budget); discovered OB-009..026 are ALSO all resolved -> filed #170 w/ commit-map. h=45 WRITER, actual 6.5m. Worktree.",
175,"Docs: create who_lccjs_is_for.md — persona-based start-here onboarding guide",WRITER,60,30,4,-56,-26,2026-05-29T07:42:00-10:00,2026-05-29T07:45:51-10:00,dbc2e1e,"Persona router doc with a first-steps paragraph per audience: Learner {self-taught, course student}, Teacher (incl. common first-timer challenges), Hobbyist {assembly enthusiast, toolchain tinkerer, game/demo maker, OSS contributor}. Scoped via yegor-pm architect pass first (design written into #175 before drafting); bounded the two synthesis parts to fit one WRITER task and deferred the depth (full pitfall catalog + per-demo walkthroughs) as #176 with an @todo marker in the doc. Honest Today/Not-yet capability table sourced from actual demos/plusdemos — caught that ROADMAP still lists RPS+FlappyBird as planned though both already ship. All 15 internal links verified to resolve. actual=4m drafting wall-clock; the source-gathering/scoping happened in the architect pass before the timer (h=60 is the WRITER cap, not a forecast). Worktree.",
177,"Docs: who_lccjs_is_for.md links into PRIVATE claude-config — public readers cannot resolve pitfalls ref",WRITER,10,5,1,-9,-4,2026-05-29T07:58:02-10:00,2026-05-29T07:58:50-10:00,41a3ac7,"One-section defect fix: common-challenges subsection pointed at the lccjs-assembly skill pitfalls ref, which lives in the PRIVATE claude-config repo -> public readers dead-ended. Repointed to in-repo parity_deviations.md + lcc-isa.md only; verified no skill/claude-config refs remain in the doc. Same commit updated the #176 @todo marker to the agreed single-source-of-truth direction (canonical in-repo docs/pitfalls.md; skill becomes a derivative). Architectural decision recorded as a comment on #176. Worktree. actual ~1m (trivial edit; analysis/scoping happened in the prior review turn).",
176,"Docs: author canonical in-repo docs/pitfalls.md (single source of truth for LCC-assembly pitfalls)",WRITER,60,40,4,-56,-36,2026-05-29T08:01:27-10:00,2026-05-29T08:05:08-10:00,a267175,"Built the canonical human-facing pitfall catalog (docs/pitfalls.md) so the facts live in the public repo that implements them rather than the private claude-config skill (which becomes a citing derivative — architectural decision recorded on #176/#178). Synthesised from parity_deviations.md + lcc-isa.md + the skill catalog: the four highest-cost pitfalls (r5/r6/r7, pcoffset9 ±256, narrow signed immediates with a field-width table, branch-flags-not-English) then assembler/runtime/linking/oracle-divergence sections, all symptom->why->fix. Verified field widths against lcc-isa.md (imm9/imm5/offset6); all 6 cross-refs in-repo only (no private refs). Collapsed who_lccjs_is_for.md inline list to teaser+link, added to README Further Reading, resolved the @todo #176 marker. SPLIT at start-of-work per yegor-microtasks: per-demo walkthroughs -> #178 (pdd-tracked, marker placed in game/demo-maker section). start/end logged per request; actual ~4m wall-clock for the full read+write session. Worktree.",
179,"feat: agent identity on worktree branches — self-assigned fruit names (apple/banana/…) for parallel-agent visibility",DEV,95,35,10,-85,-25,2026-05-29T08:53:22-10:00,2026-05-29T09:03:14-10:00,bc57330,"Tooling/workflow feature, dogfooded end-to-end: built while working AS agent 'apple' in .claude/worktrees/apple-issue-179 on branch apple/issue-179-agent-identity. Delivered all 3 sub-puzzles + design doc in one session: scripts/claim.js (npm run claim), puzzle-status.js agent attribution ('by apple'), convention in docs/claude_workflow.md, docs/design-agent-worktree-identity.md. auto-pick is race-safe via detect-and-rollback; --as reuses the session identity. Caught a real path-resolution bug in own testing — new worktree was nesting inside the caller's worktree; fixed to resolve against the main repo root via git --git-common-dir. h=95 is the summed sub-puzzle estimate (45 DEV claim + 30 DEV status + 20 WRITER docs); the @inprogress marker said 45m for the claim.js piece only. actual ~10m focused wall-clock. Worktree.",APPLE
180,"Velocity: add agent column to puzzle-velocity.csv — attribute each row to the worktree fruit identity",WRITER,20,15,2,-18,-13,2026-05-29T11:13:59-10:00,2026-05-29T11:15:51-10:00,f5af73a,"Schema+docs follow-up to #179: added trailing 'agent' column; set APPLE on #179 (this session) + this row, historical rows left empty (agent unknowable retroactively — no backfill, per user). Documented in docs/puzzle-velocity.md + docs/claude_workflow.md, the puzzle-velocity skill (0.4.0->0.5.0 + CHANGELOG), and the puzzle-velocity-protocol memory. Trailing column preserves positional awk \$1..\$12. Worked AS apple in a worktree alongside live banana/issue-13 (banana had independently adopted the #179 convention). actual ~2m.",APPLE
13,"#13 reconcile: spike-refresh of the symbolic-debugger epic + accept report-format deltas as by-design",SPIKE,60,30,10,-50,-20,2026-05-29T11:10:57-10:00,2026-05-29T11:23:21-10:00,07e7a86,"yegor spike-refresh: re-ran experiments/debugger-report-parity-probe.sh on main (step 2 of the 4-step plan; #145 had already derived the catalog). Finding: debugger feature is SHIPPED (12/13 acceptance boxes; 13th = deviation 11 by-design), and all five cosmetic .lst/.bst report-format deltas (A banner date, B header A/S padding, C stats alignment, D Loc/Code geometry, F BST trailing space) STILL reproduce on current main — none closed since #145. ROI low-med (pure whitespace/padding/date-shape). Posted refreshed scope comment on #13, ticked the final box. Owner chose accept-as-by-design -> documented as deviation 12 in parity_deviations.md, recorded the 5 genStats.js sites for any future parity work, closed #13 (commit 07e7a86). Span includes 2 AskUserQuestion gaps; active work ~10m. Coordinated around apple #180 (agent column) which merged mid-task — logged under the new agent column.",BANANA
178,"Docs: per-demo capability walkthroughs for the game/demo-maker path",WRITER,30,15,3,-27,-12,2026-05-29T11:29:22-10:00,2026-05-29T11:32:18-10:00,b7a092d,"Resolved the @todo #178 marker -> added a pick-a-starting-template index to who_lccjs_is_for.md game-maker section: all 14 plusdemos/*.ap grouped (building blocks / movement+rendering / full game loops) with the LCC+ technique each demonstrates, linking plusdemos.md for prose. Synthesised from plusdemos.md + each .ap header (no re-derivation); all 14 file refs + the plusdemos.md link verified to resolve. Separate follow-up commit 990afa6 (refs #13) fixed a staleness I had just introduced: the capability table still listed the debugger as open #13 after I closed #13 today -> moved it to works-today, paired with gameSnake backlog #143 as the not-yet item. Worktree (banana). actual ~3m, content readily synthesisable.",BANANA
171,"Spike: scope linker relocation/multi-module/output-format test coverage — validate plan + decompose into 5 child puzzles",SPIKE,30,20,4,-26,-16,2026-05-29T11:32:16-10:00,2026-05-29T11:36:22-10:00,,"yegor-spike (PM): read-only scope of #171 vs current src/core/linker.js + linker.unit.spec.js. Validated the body's pre-existing 5-child plan as accurate; added 3 refinements (relocation adds the pre-existing operand word; OB-003/#33-35 abort-before-write is ALREADY FIXED -> regression guard not a fix; createExecutable emits VTable as 'A' entries before ATable). Decomposed into #181-185 (3 medium relocation-math children, 2 low) + scope comment on #171; closed #171 as its scope job is done, children carry markers-on-claim. GH-only spike (no code change) so closed_commit empty; #171 closed via gh decomposition. Worked as apple alongside live banana. actual ~4m. [role reclassified PM->SPIKE 2026-05-29 #192: original tag was PM; see role-table COMBO/SPIKE defs.]",APPLE
156,"Test: lock in .e-path LST hex-only parity vs oracle (no source/comments, whitespace-lenient)",TEST,45,30,8,-37,-22,2026-05-29T11:35:49-10:00,2026-05-29T11:43:52-10:00,048bff4,"TDD lock-in; no production change (lccjs .e-path listing was already hex-only). Found the ticket premise was partly stale: an oracle-on-.e helper already existed locally in interpreter.oracle.e2e.spec.js -> promoted it to tests/helpers/runOracle.js as runOracleInterpreterOnExecutable (sibling to runOracleOnDemo) and DRYd the local dup (spec now imports it). The real gap: interpreter.oracle.e2e compares with stripComments:true so it cannot catch source leaking into the .e LST. New spec interpreter.e-path-hex-only.oracle.e2e.spec.js asserts per demoQ/R/Z: (1) code region between Loc-Code header and first ==== is pure hex; (2) distinctive .a comment tokens absent from that code region (negative probe scoped to the code region — first cut searched the whole file and false-positived on the stats block echoing the input filename demoQ1.e; fixed); (3) code-region hex words match the oracle .e lst, whitespace-lenient. Full suite 584 passed / 2 skipped, refactored oracle e2e still 30/30. Worktree (banana).",BANANA
181,"Test: linker adjustExternalReferences() relocation math (11-bit / 9-bit / full-address)",TEST,45,15,2,-43,-13,2026-05-29T11:42:30-10:00,2026-05-29T11:44:26-10:00,96e9d6c,"First child of the #171 spike. 7 characterization tests for adjustExternalReferences() in linker.unit.spec.js: 11-bit ETable (clean offset + opcode-bit preservation), the operand-word-folded-into-offset case the spike flagged, 11-bit mask wraparound, 9-bit eTable (offset + high-bit preservation), 9-bit wraparound, VTable full-address add, and an all-three-tables no-interference pass. Hand-computed expectations, green on first run (locks the already-correct math against silent-corruption regressions — not red-green). 13/13 pass in the spec. Marker tagged /QA; logged as TEST role (velocity taxonomy code for test work). Worked as apple alongside live banana. actual ~2m.",APPLE
182,"Test: linker adjustLocalReferences() ATable relocation (moduleStart addition)",TEST,30,10,1,-29,-9,2026-05-29T11:50:55-10:00,2026-05-29T11:52:19-10:00,d7f194f,"Second child of the #171 spike (sibling to #181). 4 tests for adjustLocalReferences() in linker.unit.spec.js: in-place mca[addr]+=moduleStart; multiple entries relocated by their own moduleStart in one pass (3 modules at offsets 0/10/30); moduleStart=0 first-module no-op; empty-ATable no-op. Green on first run (characterization of already-correct relocation). 17/17 pass in the spec. Marker /QA, logged TEST. Worked as apple alongside live cherry (#160). actual ~1.5m.",APPLE
